from	to	type	line	col1	col2	file
cca.default	getCentroids	call	34	30	41	R/cca.default.R
cca.formula	ordiParseFormula	call	10	10	25	R/cca.formula.R
cca.formula	cca.default	call	12	12	22	R/cca.formula.R
cca.formula	getCentroids	call	13	26	37	R/cca.formula.R
cca.formula	ordiNAexclude	call	21	16	28	R/cca.formula.R
cca.formula	ordiTerminfo	call	28	30	41	R/cca.formula.R
cca	cca.default	s3	NA	NA	NA	R/cca.R
cca	cca.formula	s3	NA	NA	NA	R/cca.R
CCorA	stats::var	call	18	34	36	R/CCorA.R
CCorA	stats::cov	call	21	26	28	R/CCorA.R
CCorA	stats::cov	call	36	26	28	R/CCorA.R
CCorA	stats::cov	call	48	20	22	R/CCorA.R
CCorA	stats::cov	call	105	12	14	R/CCorA.R
CCorA	stats::cov	call	107	12	14	R/CCorA.R
CCorA	stats::cov	call	109	12	14	R/CCorA.R
CCorA	stats::var	call	121	20	22	R/CCorA.R
CCorA	stats::cor	call	132	18	20	R/CCorA.R
CCorA	stats::cor	call	133	18	20	R/CCorA.R
CCorA	stats::cor	call	134	18	20	R/CCorA.R
CCorA	stats::cor	call	135	18	20	R/CCorA.R
CCorA	simpleRDA2	call	145	19	28	R/CCorA.R
CCorA	simpleRDA2	call	146	19	28	R/CCorA.R
CCorA	RsquareAdj	call	147	24	33	R/CCorA.R
CCorA	RsquareAdj	call	148	24	33	R/CCorA.R
CCorA	stats::pf	call	159	17	18	R/CCorA.R
CCorA	getPermuteMatrix	call	160	15	30	R/CCorA.R
getCentroids	centroids.cca	call	54	18	30	R/centroids.cca.R
clamtest	stats::qnorm	call	52	11	15	R/clamtest.R
clamtest	stats::uniroot	call	68	17	23	R/clamtest.R
clamtest	stats::approx	call	94	32	37	R/clamtest.R
clamtest	stats::approx	call	96	32	37	R/clamtest.R
coef.radfit	stats::coef	call	4	57	60	R/coef.radfit.R
coef.radfit	stats::coef	call	6	21	24	R/coef.radfit.R
coef.radfit	stats::coef	call	6	49	52	R/coef.radfit.R
coef.radfit	stats::coef	call	7	10	13	R/coef.radfit.R
coef.radfit.frame	stats::coef	call	NA	NA	NA	R/coef.radfit.R
confint.MOStest	stats::confint	call	4	5	11	R/confint.MOStest.R
confint.MOStest	stats::profile	call	4	13	19	R/confint.MOStest.R
contribdiv	decostand	call	25	17	25	R/contribdiv.R
contribdiv	diversity	call	28	18	26	R/contribdiv.R
cophenetic.spantree	stats::as.dist	call	7	16	22	R/cophenetic.spantree.R
cophenetic.spantree	stats::as.dist	call	11	10	16	R/cophenetic.spantree.R
cophenetic.spantree	stepacross	call	13	5	14	R/cophenetic.spantree.R
dbrda	stats::terms	call	16	24	28	R/dbrda.R
dbrda	stats::as.dist	call	24	14	20	R/dbrda.R
dbrda	ordiParseFormula	call	49	10	25	R/dbrda.R
dbrda	addLingoes	call	75	19	28	R/dbrda.R
dbrda	addCailliez	call	78	19	29	R/dbrda.R
dbrda	ordConstrained	call	103	12	25	R/dbrda.R
dbrda	getCentroids	call	121	26	37	R/dbrda.R
dbrda	stats::terms	call	124	18	22	R/dbrda.R
dbrda	ordiTerminfo	call	125	21	32	R/dbrda.R
dbrda	ordiNAexclude	call	143	16	28	R/dbrda.R
decorana	beforeafter	call	17	16	26	R/decorana.R
decorana	downweight	call	20	16	25	R/decorana.R
decorana	initCA	call	49	15	20	R/decorana.R
decorana	stats::weighted.mean	call	NA	NA	NA	R/decorana.R
decorana	.Call::do_decorana	external	NA	NA	NA	R/decorana.R
decostand	decostand	call	78	14	22	R/decostand.R
decostand	specnumber	call	81	31	40	R/decostand.R
decostand	decostand	call	109	19	27	R/decostand.R
decostand	.calc_alr	call	126	20	28	R/decostand.R
decostand	.calc_alr	call	127	19	27	R/decostand.R
decostand	.calc_clr	call	134	18	26	R/decostand.R
decostand	.calc_clr	call	135	21	29	R/decostand.R
decostand	.calc_rclr	call	142	18	27	R/decostand.R
decostand	.calc_rclr	call	143	21	30	R/decostand.R
designdist	stats::as.dist	call	24	10	16	R/designdist.R
designdist	stats::as.dist	call	25	10	16	R/designdist.R
designdist	stats::as.dist	call	26	10	16	R/designdist.R
designdist	.Call::do_minterms	external	NA	NA	NA	R/designdist.R
chaodist	.Call::do_chaoterms	external	NA	NA	NA	R/designdist.R
deviance.rda	stats::nobs	call	4	26	29	R/deviance.rda.R
dispindmorisita	stats::qchisq	call	9	14	19	R/dispindmorisita.R
dispindmorisita	stats::pchisq	call	13	13	18	R/dispindmorisita.R
dispweight	stats::simulate	call	42	22	29	R/dispweight.R
distconnected	.C::stepabyss	external	NA	NA	NA	R/distconnected.R
diversity	decostand	call	17	18	26	R/diversity.R
diversity	stats::aggregate	call	18	14	22	R/diversity.R
beforeafter	stats::approx	call	44	20	25	R/downweight.R
drop1.cca	???::how	call	3	29	31	R/drop1.cca.R
drop1.cca	stats::drop.scope	call	18	22	31	R/drop1.cca.R
drop1.cca	stats::anova	call	19	17	21	R/drop1.cca.R
eigengrad	wascores	call	4	10	17	R/eigengrad.R
eigenvals	eigenvals.betadisper	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.cca	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.decorana	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.default	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.dudi	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.pca	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.pcnm	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.pco	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.prcomp	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.princomp	s3	NA	NA	NA	R/eigenvals.R
eigenvals	eigenvals.wcmdscale	s3	NA	NA	NA	R/eigenvals.R
envfit.default	stats::weights	call	9	19	25	R/envfit.default.R
envfit.default	scores	call	10	10	15	R/envfit.default.R
envfit.default	stats::complete.cases	call	15	13	26	R/envfit.default.R
envfit.default	stats::complete.cases	call	15	33	46	R/envfit.default.R
envfit.default	getPermuteMatrix	call	27	16	31	R/envfit.default.R
envfit.default	vectorfit	call	38	28	36	R/envfit.default.R
envfit.default	factorfit	call	41	24	32	R/envfit.default.R
envfit.default	vectorfit	call	45	25	33	R/envfit.default.R
envfit.default	vectorfit	call	48	21	29	R/envfit.default.R
envfit.formula	stats::model.frame	call	9	10	20	R/envfit.formula.R
envfit.formula	envfit.default	call	10	5	18	R/envfit.formula.R
envfit	envfit.default	s3	NA	NA	NA	R/envfit.R
envfit	envfit.formula	s3	NA	NA	NA	R/envfit.R
estaccumR	estimateR	call	9	9	17	R/estaccumR.R
estaccumR	getPermuteMatrix	call	11	15	30	R/estaccumR.R
estaccumR	parallel::mclapply	call	19	20	27	R/estaccumR.R
estaccumR	parallel::makeCluster	call	24	29	39	R/estaccumR.R
estaccumR	parallel::parLapply	call	26	20	28	R/estaccumR.R
estaccumR	parallel::stopCluster	call	28	17	27	R/estaccumR.R
estimateR.data.frame	estimateR	call	NA	NA	NA	R/estimateR.data.frame.R
estimateR.matrix	estimateR	call	NA	NA	NA	R/estimateR.matrix.R
estimateR	estimateR.data.frame	s3	NA	NA	NA	R/estimateR.R
estimateR	estimateR.default	s3	NA	NA	NA	R/estimateR.R
estimateR	estimateR.matrix	s3	NA	NA	NA	R/estimateR.R
eventstar	tsallis	call	9	9	15	R/eventstar.R
eventstar	stats::optimize	call	11	9	16	R/eventstar.R
eventstar	tsallis	call	14	41	47	R/eventstar.R
extractAIC.cca	stats::nobs	call	4	9	12	R/extractAIC.cca.R
extractAIC.cca	stats::deviance	call	9	11	18	R/extractAIC.cca.R
factorfit	centroids.cca	call	21	12	24	R/factorfit.R
factorfit	getPermuteMatrix	call	24	15	30	R/factorfit.R
factorfit	.Call::do_goffactor	external	NA	NA	NA	R/factorfit.R
factorfit	.Call::do_goffactor	external	NA	NA	NA	R/factorfit.R
factorfit	.Call::do_goffactor	external	NA	NA	NA	R/factorfit.R
fieller.MOStest	stats::coef	call	7	10	13	R/fieller.MOStest.R
fieller.MOStest	stats::qnorm	call	16	10	14	R/fieller.MOStest.R
fisher.alpha	fisherfit	call	NA	NA	NA	R/fisher.alpha.R
fisherfit	as.fisher	call	7	11	19	R/fisherfit.R
fisherfit	stats::uniroot	call	23	16	22	R/fisherfit.R
fitspecaccum	specaccum	call	9	19	27	R/fitspecaccum.R
fitspecaccum	stats::nls	call	27	23	25	R/fitspecaccum.R
fitspecaccum	stats::nls	call	28	21	23	R/fitspecaccum.R
fitspecaccum	stats::nls	call	29	19	21	R/fitspecaccum.R
fitspecaccum	stats::nls	call	30	22	24	R/fitspecaccum.R
fitspecaccum	stats::nls	call	31	19	21	R/fitspecaccum.R
fitspecaccum	stats::nls	call	32	22	24	R/fitspecaccum.R
fitspecaccum	stats::nls	call	33	30	32	R/fitspecaccum.R
fitspecaccum	stats::nls	call	34	19	21	R/fitspecaccum.R
fitspecaccum	stats::nls	call	35	21	23	R/fitspecaccum.R
fitspecaccum	stats::fitted	call	NA	NA	NA	R/fitspecaccum.R
fitspecaccum	stats::residuals	call	NA	NA	NA	R/fitspecaccum.R
fitspecaccum	stats::coef	call	NA	NA	NA	R/fitspecaccum.R
plot.fitspecaccum	graphics::par	call	55	23	25	R/fitspecaccum.R
plot.fitspecaccum	stats::fitted	call	59	15	20	R/fitspecaccum.R
plot.fitspecaccum	graphics::matplot	call	62	5	11	R/fitspecaccum.R
plot.fitspecaccum	stats::predict	call	NA	NA	NA	R/fitspecaccum.R
lines.fitspecaccum	graphics::par	call	68	23	25	R/fitspecaccum.R
lines.fitspecaccum	stats::fitted	call	71	15	20	R/fitspecaccum.R
lines.fitspecaccum	graphics::matlines	call	74	5	12	R/fitspecaccum.R
lines.fitspecaccum	stats::predict	call	NA	NA	NA	R/fitspecaccum.R
fitted.capscale	ordiYbar	call	11	23	30	R/fitted.capscale.R
fitted.capscale	ordiYbar	call	12	22	29	R/fitted.capscale.R
fitted.capscale	ordiYbar	call	14	24	31	R/fitted.capscale.R
fitted.capscale	stats::dist	call	19	14	17	R/fitted.capscale.R
fitted.cca	ordiYbar	call	9	13	20	R/fitted.cca.R
fitted.dbrda	ordiYbar	call	11	10	17	R/fitted.dbrda.R
fitted.dbrda	stats::as.dist	call	22	14	20	R/fitted.dbrda.R
predict.procrustes	stats::fitted	call	16	16	21	R/fitted.procrustes.R
fitted.radfit	stats::fitted	call	NA	NA	NA	R/fitted.radfit.R
fitted.radfit.frame	stats::fitted	call	NA	NA	NA	R/fitted.radfit.R
fitted.rda	ordiYbar	call	9	13	20	R/fitted.rda.R
gdispweight	stats::model.matrix	call	23	10	21	R/gdispweight.R
gdispweight	stats::delete.response	call	23	23	37	R/gdispweight.R
gdispweight	stats::terms	call	23	39	43	R/gdispweight.R
gdispweight	stats::quasipoisson	call	26	15	26	R/gdispweight.R
gdispweight	stats::glm.fit	call	32	38	44	R/gdispweight.R
gdispweight	stats::pchisq	call	40	10	15	R/gdispweight.R
gdispweight	stats::fitted	call	NA	NA	NA	R/gdispweight.R
gdispweight	stats::df.residual	call	NA	NA	NA	R/gdispweight.R
getPermuteMatrix	???::how	call	15	17	19	R/getPermuteMatrix.R
getPermuteMatrix	???::getBlocks	call	19	46	54	R/getPermuteMatrix.R
getPermuteMatrix	???::shuffleSet	call	24	17	26	R/getPermuteMatrix.R
